Time(s),Voltage(V),Current(A),InternalResistance(mOhm)
50.854,4.0758,0.2000,
50.954,4.0758,0.1999,
51.054,4.0758,0.1999,
51.154,4.0758,0.2000,
51.254,4.0758,0.1999,
51.354,4.0758,0.2000,
51.454,4.0758,0.1999,
51.554,4.0758,0.2000,
51.654,4.0758,0.1999,
51.754,4.0758,0.1999,
51.854,4.0758,0.1999,
51.954,4.0758,0.2000,
52.054,4.0758,0.1999,
52.154,4.0758,0.1999,
52.254,4.0758,0.2000,
52.354,4.0758,0.1999,
52.454,4.0758,0.2000,
52.554,4.0758,0.1999,
52.654,4.0758,0.1999,
52.754,4.0758,0.1999,
52.854,4.0758,0.1999,
52.954,4.0758,0.2000,
53.054,4.0758,0.1999,
53.154,4.0758,0.2000,
53.254,4.0758,0.1999,
53.354,4.0758,0.2000,
53.454,4.0745,0.1999,
53.554,4.0758,0.1999,
53.654,4.0758,0.2000,
53.754,4.0758,0.1999,
53.854,4.0758,0.1999,
53.954,4.0745,0.1999,
54.054,4.0758,0.1999,
54.154,4.0745,0.1999,
54.254,4.0758,0.2000,
54.354,4.0745,0.1999,
54.454,4.0758,0.1999,
54.554,4.0745,0.1999,
54.654,4.0745,0.1999,
54.754,4.0758,0.1999,
54.854,4.0745,0.1999,
54.954,4.0745,0.1999,
55.054,4.0745,0.1999,
55.154,4.0745,0.1999,
55.254,4.0745,0.1999,
55.354,4.0745,0.1999,
55.454,4.0745,0.1999,
55.554,4.0745,0.1999,
55.654,4.0745,0.1999,
55.754,4.0745,0.1999,
55.854,4.0745,0.1999,
55.954,4.0745,0.2000,
56.054,4.0745,0.1999,
56.154,4.0745,0.1999,
56.254,4.0745,0.1999,
56.354,4.0745,0.1999,
56.454,4.0745,0.1999,
56.554,4.0745,0.1999,
56.654,4.0745,0.1999,
56.754,4.0745,0.1999,
56.854,4.0745,0.2000,
56.954,4.0745,0.1999,
57.054,4.0745,0.1999,
57.154,4.0745,0.1999,
57.254,4.0745,0.1999,
57.354,4.0745,0.1999,
57.454,4.0745,0.2000,
57.554,4.0745,0.2000,
57.654,4.0745,0.1999,
57.754,4.0745,0.2000,
57.854,4.0745,0.2000,
57.954,4.0745,0.1999,
58.054,4.0745,0.2000,
58.154,4.0745,0.1999,
58.254,4.0745,0.2000,
58.354,4.0745,0.1999,
58.454,4.0745,0.1999,
58.554,4.0745,0.1999,
58.654,4.0745,0.1999,
58.754,4.0745,0.1999,
58.854,4.0745,0.2000,
58.954,4.0745,0.1999,
59.054,4.0745,0.1999,
59.154,4.0733,0.1999,
59.254,4.0733,0.2000,
59.354,4.0733,0.1999,
59.454,4.0745,0.2000,
59.554,4.0745,0.1999,
59.654,4.0733,0.1999,
59.754,4.0745,0.2000,
59.854,4.0733,0.1999,
59.954,4.0733,0.1999,
60.054,4.0733,0.1999,
60.154,4.0745,0.1999,
60.254,4.0733,0.1999,
60.354,4.0733,0.1999,
60.454,4.0733,0.1999,
60.554,4.0733,0.1999,
60.654,4.0733,0.1999,
60.754,4.0733,0.1999,
60.854,4.0733,0.1999,
60.954,4.0733,0.1999,
61.054,4.0733,0.1999,
61.154,4.0745,0.1999,
61.254,4.0733,0.2000,
61.354,4.0733,0.2000,
61.454,4.0733,0.1999,
61.554,4.0733,0.1999,
61.654,4.0733,0.1999,
61.754,4.0733,0.1999,
61.854,4.0733,0.1999,
61.954,4.0733,0.1999,
62.054,4.0733,0.1999,
62.154,4.0733,0.1999,
62.254,4.0733,0.1999,
62.354,4.0733,0.2000,
62.454,4.0733,0.2000,
62.554,4.0733,0.1999,
62.654,4.0733,0.2000,
62.754,4.0733,0.1999,
62.854,4.0733,0.1999,
62.954,4.0733,0.1999,
63.054,4.0733,0.1999,
63.154,4.0733,0.1999,
63.254,4.0733,0.2000,
63.354,4.0733,0.1999,
63.454,4.0733,0.2000,
63.554,4.0733,0.1999,
63.654,4.0733,0.1999,
63.754,4.0733,0.1999,
63.854,4.0733,0.2000,
63.954,4.0733,0.1999,
64.054,4.0733,0.1999,
64.154,4.0733,0.1999,
64.254,4.0733,0.1999,
64.354,4.0733,0.1999,
64.454,4.0733,0.1999,
64.554,4.0733,0.1999,
64.655,4.0733,0.1999,
64.755,4.0733,0.2000,
64.855,4.0721,0.1999,
64.955,4.0733,0.2000,
65.055,4.0721,0.1999,
65.155,4.0733,0.2000,
65.255,4.0733,0.1999,
65.355,4.0721,0.1999,
65.455,4.0721,0.1999,
65.555,4.0733,0.2000,
65.655,4.0721,0.1999,
65.755,4.0721,0.1999,
65.855,4.0721,0.1999,
65.955,4.0721,0.1999,
66.055,4.0721,0.1999,
66.155,4.0721,0.2000,
66.255,4.0721,0.1999,
66.355,4.0721,0.1999,
66.455,4.0721,0.2000,
66.555,4.0721,0.1999,
66.655,4.0721,0.1999,
66.755,4.0721,0.1999,
66.855,4.0721,0.1999,
66.955,4.0721,0.2000,
67.055,4.0721,0.1999,
67.155,4.0721,0.1999,
67.255,4.0721,0.1999,
67.355,4.0721,0.1999,
67.455,4.0721,0.1999,
67.555,4.0721,0.1999,
67.655,4.0721,0.1999,
67.755,4.0721,0.1999,
67.855,4.0721,0.1999,
67.955,4.0721,0.1999,
68.055,4.0721,0.2000,
68.155,4.0721,0.1999,
68.255,4.0721,0.1999,
68.355,4.0721,0.1999,
68.455,4.0721,0.1999,
68.555,4.0721,0.1999,
68.655,4.0721,0.2000,
68.755,4.0721,0.1999,
